.	NZ_CP013055	NZ_CP016784	NZ_CP023320	NZ_CP010577	NZ_CP012722	NZ_CP024647	NZ_CP025001	NZ_CP018184	NZ_CP020375	NZ_CP020367	NZ_CP011937	NZ_CP017676	NZ_CP021889	NC_022081	NZ_CP012330	NZ_CP019626	NZ_CP011101	NC_020507	NZ_CP020814	NZ_CP022531	NZ_CP017070	NC_016779	NZ_CP011974	NZ_CP009325	NZ_CP009968	NZ_CP009920	NZ_CP013950	NZ_CP015222	NZ_CP007626	NC_020410	NC_012472	NZ_AP012496	NZ_CP014781	NZ_CP019230	NZ_CP007512	NZ_CP004858	NZ_CP010556	NZ_CP013274	NZ_CP018100	NZ_CP026610	NZ_CP010314	NZ_CP007409	NZ_CP021669	NZ_CP020002	NC_017191	NZ_CP008855	NZ_CP009605	NZ_CP009902	NC_022873	NZ_CP023179	NZ_CP015443	NZ_CP020722	NZ_CP011153	NZ_CP014794	NZ_CP015779	NZ_CP022874	NZ_CP012475	NZ_CP021338	NC_014171	NZ_CP007173	NZ_CP023431	NZ_CP015226	NZ_CP018874	NC_018520	NZ_CP015975	NC_022524	NZ_CP017763	NZ_CP016894	NZ_CP020352	NC_016047	NZ_CP012482	NZ_CP008846	NZ_CP009679	NZ_CP011007	NC_011725	NC_016784	NZ_CP016020	NZ_CP014840	NZ_CP007666	NZ_CP025122	NZ_CP009300	NZ_CP018935	NZ_CP012727	NC_014335	NC_017195	NC_011773	NZ_CP026678	NZ_CP018249	NZ_CP010524	NC_018877	NZ_CP013654	NC_000964	NZ_CP023666	NZ_CP022345	NZ_CP012720	NZ_CP011347	NZ_CP022654	NZ_CP014486	NZ_CP017888	NZ_CP014793	NZ_CP009700	NZ_CP022983	NZ_CP020102	NZ_CP021892	NZ_CP022477	NC_022530	NZ_CP006058	NC_017743	NZ_CP019985	NC_017190	NZ_CP009315	NZ_CP022556	NZ_CP018133	NZ_CP011346	NC_014551	NZ_CP007739	NZ_CP015350	NC_020238	NZ_CP021499	NZ_CP018197	NZ_CP018866	NC_022781	NZ_CP018574	NZ_CP018173	NC_014103	NZ_CP020023	NZ_CP021921	NZ_CP014795	NZ_CP023665	NZ_CP021677	NZ_CP018200	NZ_AP014928	NZ_CP015611	NZ_CP026673	NC_014479	NZ_CP021505	NC_017188	NZ_CP007618	NZ_CP009590	NZ_CP015176	NC_020832	NZ_CP015150	NZ_CP008698	NC_019896	NC_008600	NZ_CP018903	NZ_CP017060	NZ_CP012691	NZ_CP017775	NZ_CP024897	NZ_CP025941	NZ_CP012729	NC_013791	NZ_CP009641	NZ_CP007800	NZ_CP025258	NZ_CP015375	NZ_CP022319	NZ_CP001970	NC_016023	NZ_CP014166	NC_010184	NC_003909	NC_018500	NZ_CP021011	NC_006274	NZ_CP020880	NZ_CP010075	NC_018693	NZ_CP017953	NZ_CP014179	NZ_CP009341	NZ_CP012728	NC_021362	NZ_CP019040	NZ_CP022287	NZ_CP012519	NC_017208	NZ_CP007165	NZ_CP006960	NZ_CP024203	NZ_CP011008	NZ_CP011155	NC_020376	NZ_CP011534	NZ_CP014783	NZ_CP022890	NC_023073	NZ_CP018295	NC_018491	NZ_CP011939	NZ_CP010406	NZ_CP016767	NZ_CP009981	NZ_CP017747	NZ_CP010525	NZ_CP009331	NZ_CP010014	NC_015634	NZ_CP012726	NZ_CP020893	NZ_CP021500	NZ_CP022341	NC_018508	NZ_CP025341	NC_017138	NZ_CP010088	NZ_CP005997	NZ_CP017314	NC_017061	NC_006582	NZ_CP010997	NZ_CP007242	NC_017200	NZ_CP014842	NZ_CP009686	NZ_CP004870	NZ_CP009628	NZ_CP009544	NZ_CP006890	NZ_CP009749	NZ_CP017786	NZ_CP006742	NZ_CP010586	NZ_CP018933	NZ_CP009328	NZ_CP018007	NZ_CP011151	NZ_CP017234	NZ_CP021903	NZ_CP021169	NZ_CP015727	NZ_CP025939	NZ_CP009611	NZ_CP014282	NZ_CP017016	NC_011658	NC_021171	NZ_CP014990	NZ_CP021495	NZ_CP020437	NZ_CP021920	NC_014976	NC_017196	NZ_CP007436	NZ_CP021061	NZ_CP010052	NZ_CP015607	NZ_CP016913	NZ_CP016360	NZ_CP016371	NZ_CP009941	NZ_CP024797	NZ_CP009351	NC_004722	NC_022075	NC_020244	NC_019842	NZ_CP009746	NZ_CP009369	NZ_CP022044	NZ_CP009697	NZ_CP014471	NZ_CP010322	NC_014829	NZ_CP011349	NC_007530	NZ_CP017072	NZ_CP023481	NZ_CP026649	NZ_CP022891	NZ_CP022445	NZ_CP009796	NZ_CP017112	NC_016771	NZ_AP014833	NZ_CP015911	NC_009725	NZ_CP025308	NZ_CP016315	NZ_CP018931	NC_022898	NZ_CP009476	NC_014019	NZ_CP011252	NC_012659	NC_003997	NZ_CP010106	NZ_CP009108	NZ_CP001974	NZ_CP012099	NZ_CP011882	NZ_CP020743	NZ_CP011115	NZ_CP009709	NZ_CP023729	NZ_CP012725	NC_009848	NZ_CP026533	NZ_CP011278	NZ_AP013294	NZ_CP017247	NZ_AP014864	NZ_CP010792	NZ_CP012329	NC_022653	NZ_CP016395	NZ_CP020723	NZ_CP015250	NZ_CP024035	NZ_CP021507	NZ_CP009596	NC_002570	NZ_CP012723	NZ_CP009598	NZ_CP014700	NZ_CP010089	NZ_CP009692	NZ_CP011686	NZ_CP010852	NC_006322	NZ_CP009600	NZ_CP019588	NZ_CP007244	NC_005945	NZ_CP017080	NC_011969	NZ_CP009541	NZ_CP015004	NZ_CP015589	NZ_CP012730	NZ_CP003923	NZ_CP020383	NZ_CP020805	NZ_CP013984	NZ_CP016588	NZ_CP007607	NZ_CP009720	NZ_CP009938	NC_020272	NZ_CP013727	NZ_CP012724	NZ_CP021498	NZ_CP010005	NC_014639	NC_017729	NC_006270	NZ_CP009318	NZ_CP012502	NZ_CP012483	NZ_CP009335	NZ_CP023859	NZ_CP016790	NC_009674	NZ_CP017704	NC_012581	NZ_CP016852	NZ_CP012721	NZ_CP023748	NZ_CP017577	NZ_CP010053	NC_011772	NZ_CP021911	NZ_CP022653	NZ_CP024204	NZ_CP023001	NC_017912	NZ_CP018152	NZ_CP010778	NC_005957	NZ_CP015610	NZ_CP023257	NZ_CP009464	NZ_CP023168	NZ_CP021976	NZ_CP009748	NZ_CP011150	NZ_CP012024	NZ_CP015506
NZ_CP022345	0.0117448	0.246515				0.245198	0.247331		0.245198	0.245719		0.245198	0.245719		0.244434		0.246515		0.252719		0.245458									0.245719				0.00985107	0.00619205				0.239319		0.245982				0.247057	0.246515	0.0625924	0.0629946	0.0284018						0.0630677				0.0208035			0.237037			0.245458	0.247331	0.241086		0.247888	0.245719	0.244434	0.0630197			0.018769	0.246515	0.242956					0.0625213	0.0630645	0.0631	0.245458		0.0272054	0.247057	0.247331	0.0275866	0.245719	0.245982		0	0.0630527		0.246247	0.0212543	0.256518			0.241314			0.247331		0.245982	0.246515			0.0630574		0.246247									0.0631418				0.241086	0.246515	0.246785				0.241775				0.245458			0.0586065		0.245719	0.0116619		0.246515	0.0630103	0.0630268	0.02678		0.246247	0.246515	0.245719	0.0630645		0.0630606			0.245982	0.242242	0.0630504		0.245982		0.0637698	0.0312362	0.244434							0.0630771	0.0630653			0.245719		0.0276435	0.246515		0.245458	0.236638								0.0624935	0.256518		0.245458		0.246785		0.0630763	0.245982	0.255793		0.245198	0.243934		0.030538	0.246247		0.0623896	0.245719	0.245198		0.263899	0.244183	0.245982	0.062385	0.247331		0.011833	0.0593336	0.0630598				0.0630559	0.239534			0.244941				0.245458	0.00895711	0.245198	0.245982				0.245458	0.245198	0.245198			0.245458	0.246515		0.0278467	0.245982	0.24086							0.0213236		0.245982				0.0630559				0.259592		0.063059	0.245458	0.24019	0.255793		0.0202098		0.246247					0.245982				0.0630409		0.246785				0.245198		0.0299448	0.245719							0.245458	0.245719	0.258796	0.240635			0.244434		0.245719		0.0284149		0.24019	0.0625932				0.246785	0.0117228		0.245719	0.0631134		0.0630103	0.0630637			0.242478		0.0630645				0.265312		0.247057			0.0117632				0.245719	0.0630645	0.245719	0.0117424	0.236245	0.063085	0.247331		0.262106	0.0276626			0.234164	0.135904	0.244183	0.0630748	0.245982	0.0630527	0.245719	0.0213982					0.242716	0.0630504	0.245719		0.236245	0.0623988			0.0630559	0.240635					0.245719
NZ_CP012720																																																																																															0																																					0.240635															0.0638523																	0.0660238																																								0.0655264			0.0139889																																																																														0.246785						0.0649121																																																																																								
NZ_CP011347	0.244941	0.193624				0.01546	0.0461202		0.0109288	0.140567		0.14029	0.141546		0.192299		0.141526		0.238892		0.140064				0.245198					0.0153684		0.128201		0.244941	0.245198				0.191363		0.141007				0.0523736	0.228777	0.244687	0.245982	0.245198						0.245198		0.241314		0.244434			0.230529		0.140947	0.13983	0.233619	0.14308		0.183447	0.142962	0.192299	0.245198			0.244941	0.0207491	0.224979					0.245198	0.245198	0.245458	0.141048		0.244687	0.184409	0.180931	0.244941	0.139704	0.141088		0.244941	0.245198	0	0.020474	0.244183	0.2338		0.245198	0.233083		0.141835	0.184684	0.0161625	0.0156371	0.140339	0.24019		0.245458		0.0157479									0.242956				0.143123	0.141516	0.184803				0.192449				0.051712			0.246247	0.243686	0.140005	0.244941		0.140319	0.245719	0.245198	0.244687		0.0182236	0.0153308	0.140947	0.245198		0.245982			0.141028	0.192499	0.245198		0.140577	0.244183	0.244183	0.244434	0.0201891							0.245198	0.245198			0.139839		0.245982	0.0209561		0.0152276	0.237848								0.244687	0.233261		0.141454		0.0195972		0.244941	0.140339	0.236837	0.245198	0.0109225	0.148256		0.243441	0.0199594		0.245458	0.14029	0.141567		0.241775	0.193108	0.014096	0.244687	0.184409		0.244941	0.244941	0.245198				0.245198	0.231527			0.0109886				0.140907	0.245198	0.0170166	0.0141239	0.244434	0.245198		0.2338	0.0201242	0.0109294			0.141149	0.143005		0.245458	0.141078	0.192499							0.244434		0.140113				0.245198				0.252719		0.245198	0.140025	0.186094	0.233261		0.244434		0.140221					0.0160114				0.245198		0.0506834		0.245458		0.192099	0.245198	0.244434	0.14024							0.0190484	0.020501	0.241314	0.184803			0.192299		0.0207309		0.244941		0.143285	0.244687				0.0205321	0.244687		0.0139278	0.245198		0.245719	0.245198		0.245198	0.236245		0.245198				0.241544		0.0141992			0.244941				0.0208039	0.245198	0.141516	0.244941	0.148651	0.245198	0.183523		0.244687	0.244941			0.228011	0.234905	0.239319	0.245198	0.141088	0.245198	0.0150072	0.244434					0.192349	0.245198	0.0160691		0.148638	0.245458			0.245198	0.181213					0.23605
NZ_CP022654	0.246247						0.0465716					0.142399					0.14278		0.240412																										0.0496827	0.229881		0.246785														0.231358				0.236638				0.144657		0.246515										0.245982							0.185442		0.142074	0.142589			0.246515		0								0.186301								0.0189329														0.143048					0.194096												0.142589			0.245982																	0.246247								0.246515	0.246515			0.142252					0.0207859	0.239319																						0.244183			0.247057					0.194308			0.186301			0.246785						0.232382									0.0191046	0.0196793					0.0103103	0.0202125															0.246247												0.246515	0.142631				0.245719											0.246247		0.0500295				0.193417		0.246247									0.0135491											0.143864												0.246515									0.242716					0.245982					0.246515			0.149719								0.229562	0.236441						0.245719					0.193938	0.246515	0.0196305		0.149719					0.185604					
NZ_CP014486	0.0223263						0.246785					0.244434			0.244434		0.246247		0.253047																										0.246515	0.246515		0.0616669														0.233619				0.247057				0.245198		0.0616961			0.0134202							0.0613891							0.243934		0.244941	0.245458			0.0617096		0.245458	0							0.246785								0.245982														0.245982					0.242242										0.022237		0.245982			0.0235188														0.245458			0.0313361								0.0617757	0.0617246			0.244941					0.244434	0.235093																						0.0302217			0.060218					0.244434			0.246785			0.0577237						0.237237			0.243934						0.245719	0.245458					0.245198	0.244183			0.244941												0.00814295												0.0617164	0.245719				0.00943817											0.0617607		0.246515				0.244183		0.0279273									0.244941	0.258796										0.244183								0.239534				0.0617246									0.264363					0.0223201				0.244941	0.0617239			0.239534								0.234905	0.135098						0.00451297					0.243686	0.0617066	0.245458		0.239534					0.245458					
NZ_CP017888	0.256518	0.238054				0.234905	0.23605		0.234164	0.237237		0.237037	0.237037		0.237848		0.23744		0.25113		0.237237									0.234164					0.256518				0.236837		0.23744				0.234905	0.231358	0.256518	0.256518	0.257259						0.256518				0.256153			0.243934			0.236638	0.239319	0.237237		0.236441	0.23744	0.237848	0.256518			0.256887	0.235093	0.242716					0.256153	0.256518	0.256153	0.23744		0.256518	0.235857	0.236638	0.256518	0.237037	0.23744			0.256518		0.235473	0.256518	0			0.240635			0.23605		0.234905	0.237237			0.256518		0.23744									0.254391				0.237237	0.23744	0.235664				0.237643				0.234905			0.256518		0.238261	0.256518		0.236837	0.256153	0.256518	0.256153		0.237037	0.236245	0.23744	0.256518		0.256153			0.23744	0.237848	0.256518		0.237237		0.255793	0.258018	0.234718							0.256518	0.256518			0.237237		0.256518	0.235857		0.23605	0.243198								0.255437	0.0125904		0.237643		0.235283		0.256153	0.237643	0.0338624		0.234164	0.236245		0.256153	0.235473		0.256518	0.238054	0.236837		0.250213	0.238054	0.235664	0.256153	0.235857			0.256518	0.256518				0.256518	0.245719			0.234164				0.237037	0.256518	0.236441	0.234718				0.242242	0.234533	0.234164			0.238054	0.237037		0.256518	0.23744	0.237643							0.256518		0.237848				0.256518				0.255437		0.256518	0.237237	0.237848	0.0127634		0.256153		0.23744					0.235857				0.256518		0.235283				0.23744		0.255084	0.237237							0.236441	0.233981	0.248169	0.236837			0.237848		0.235093		0.256887		0.237237	0.256518				0.235283	0.256887		0.235093	0.256518		0.256153	0.256518			0.242008		0.256518				0.257259		0.235857			0.256887				0.234718	0.256518	0.237037	0.256518	0.236441	0.256518	0.235664		0.256518	0.256518			0.240635	0.247331	0.244183	0.256518	0.23744	0.256518	0.235093	0.256887					0.237643	0.256518	0.236441		0.236441	0.256518			0.256518	0.237848					0.242242
NZ_CP014793	0.246785	0.197667				0.185442	0.167741		0.184842	0.182476		0.183409	0.166982		0.198263		0.184253		0.229246		0.183296				0.245458					0.185201		0.183714		0.246785	0.246515	0.246785			0.197786		0.184409				0.185402	0.225817	0.245982	0.245458	0.248169						0.245458		0.239104		0.246515			0.232556		0.184566	0.183296	0.236638	0.164095		0.0462513	0.178728	0.198263	0.245458			0.246247	0.185767	0.226244					0.245982	0.245458	0.245719	0.182182	0.245982	0.246785	0.00331819	0.0461578	0.247057	0.181748	0.168518		0.246515	0.245458	0.185321	0.186971	0.245982	0.236837	0	0.245458	0.235283		0.158753	0.00340375	0.18593	0.185201	0.173399	0.24086		0.245458		0.187098									0.247331			0.233083	0.164137	0.182255	0.0036339				0.197374				0.168998			0.246515	0.246785	0.182329	0.246785		0.182995	0.245719	0.245458	0.247057		0.165669	0.186676	0.18379	0.245458		0.245719			0.16847	0.197786	0.245458		0.183982	0.248169	0.245198	0.249321	0.184882						0.245458	0.245458	0.245458			0.181964		0.247331	0.186467		0.186301	0.238261	0.247057							0.245458	0.236441		0.18182		0.186012		0.245198	0.183485	0.238261	0.245458	0.184842	0.181784		0.246515	0.18593		0.245982	0.184215	0.16602		0.24019	0.198143	0.185644	0.244687	0.00314545		0.247057	0.246247	0.245458		0.185685		0.245458	0.234164	0.245982		0.184842	0.246785			0.170256	0.246515	0.187612	0.185644	0.246515	0.245982		0.236837	0.186259	0.184842			0.18406	0.164033	0.197432	0.248169	0.168518	0.171356							0.246785		0.182146				0.245458				0.253047		0.245458	0.183296	0.120481	0.236441		0.246515		0.182846				0.185121	0.186634				0.245458		0.185281		0.245458		0.197083	0.245458	0.247331	0.184098							0.169095	0.186342	0.245982	0.00412546			0.198323		0.18593		0.247331		0.159916	0.245982				0.185321	0.246785		0.184961	0.245458		0.245719	0.245458		0.245458	0.237643		0.245458			0.245458	0.243198		0.185361			0.246785				0.186094	0.245458	0.16696	0.246785	0.18034	0.245458	0.0035198		0.245458	0.247888			0.224569	0.235664	0.238892	0.245458	0.168518	0.245458	0.185604	0.246515		0.245719			0.197608	0.245458	0.186676		0.180306	0.245982			0.245458	0.0440472				0.230204	0.234164
NZ_CP009700	0.0644123	0.245719				0.245198	0.247057		0.244687	0.245982		0.245458	0.245982		0.242242		0.245719		0.249616		0.245458									0.246247				0.0633556	0.0628645				0.238261		0.245982				0.247331	0.245198	0.00906022	0.000760664	0.0648533						0.000444794				0.0615511			0.235093			0.245198	0.245458	0.245719		0.246785	0.245719	0.242242	0.000148208			0.0626265	0.246515	0.241544					0.00879286	0.000434515	0.0142327	0.244941		0.06369	0.245982	0.246515	0.0636643	0.245458	0.245982		0.0630551	0.000429547		0.246515	0.0617246	0.256518		0	0.241544			0.246247		0.246785	0.245719			0.000401693		0.246247									0.0697505				0.245719	0.245982	0.245719				0.240635				0.245982			0.0402923		0.245458	0.064343		0.246247	0.0162253	0.000253107	0.0638741		0.246515	0.246785	0.244941	0.000434515		0.0167529			0.245982	0.24086	0.000425621		0.245982	0.079027	0.0437684	0.0660054	0.245458							0.000457943	0.000435522			0.245458		0.0637045	0.246515		0.244941	0.233619								0.0420509	0.255793		0.245719		0.246515		0.000433441	0.246515	0.255437		0.244687	0.244687		0.0655058	0.246247		0.0140183	0.245719	0.244941		0.264363	0.243198	0.246247	0.0371907	0.246247		0.0646244	0.0365622	0.000411305				2.64519e-05	0.236245			0.244687				0.245198	0.0630323	0.245198	0.246247				0.241544	0.244941	0.244687			0.245719	0.245719		0.0646111	0.245982	0.239752							0.0621342		0.245719				0.000428238				0.257259		0.000430453	0.245458	0.245198	0.255437		0.0619861		0.246247					0.246247				0.000502043		0.246785		0.000435455		0.242956	0.000432064	0.0649113	0.245719							0.245458	0.245719	0.258405	0.245719			0.242242		0.246247		0.0640439		0.245198	0.00906055				0.246785	0.0644098		0.245982	0.000483748		0.0162254	0.000449837			0.242242		0.000439082				0.264834		0.246785			0.0644412				0.245982	0.000434515	0.245982	0.0644139	0.233439	0.000456025	0.246247		0.261673	0.0630362			0.224433	0.135098	0.244687	0.000431292	0.245982	0.00042958	0.245982	0.0615109					0.241314	0.000443752	0.245982		0.233439	0.0140143			0.000419081	0.245719					0.244941
NZ_CP022983	0.241544						0.234533			0.233083		0.232556			0.231527		0.233261		0.242478											0.232906					0.241314				0.232731		0.233439				0.231866	0.220009		0.241314	0.242478													0.230858				0.219891				0.234164		0.24086			0.241314							0.240412	0.24086	0.24086					0.235857	0.24086	0.232731	0.233619			0.24086		0.234348	0.241086				0			0.234533		0.233619						0.234348													0.232906	0.233619					0.230366										0.241544		0.233439	0.241314		0.241544			0.234164		0.24086									0.232906		0.241314	0.244687								0.241544	0.24086			0.233083					0.234348	0.226388								0.24086							0.240635		0.241086					0.242478			0.240635					0.231527	0.233261		0.234905			0.238892						0.232382			0.232906						0.234348	0.233619					0.232382	0.232906			0.233439												0.242008						0.24086						0.24086	0.232906				0.242242							0.234718				0.24086		0.232556				0.230693		0.24086									0.232731	0.243934	0.235664									0.232906								0.233619				0.24086									0.247057					0.241775				0.232731	0.24086			0.234164					0.241775			0.224163	0.237037				0.24086		0.242008					0.231358	0.24086	0.235093		0.234164	0.240635				0.236638					
NZ_CP020102	0.246515	0.192499	0.142231	0.243934		0.139646	0.141352		0.139626	0.0112496		0.0132199	0.0131014	0.140458	0.190834	0.138948	0.00850299	2.14407e-05	0.238892	0.138967	0.00997191		0.229881		0.243934	0.228011		0.0149555	0.243198	0.138995		0.00133981		0.245719	0.246515	0.246515		0.247057	0.18907	0.138986	0.00014569		0.183523	0.243934	0.142231	0.227263	0.245458	0.246785	0.243686	0.245458	0.138797				0.245982	0.181142	0.239319	0.142441	0.245458	0.0153439	0.139762	0.228777		0.000450946	0.00143387	0.236441	0.0148993		0.179827	0.0582424	0.190834	0.245982	0.139781	0.192701	0.245719	0.143459	0.222976		0.245982	0.245458		0.244434	0.245982	0.245458	0.0173091	0.245458	0.244434	0.181142	0.175938	0.244941	0.0153329	2.48998e-05		0.245982	0.245982	0.141058	0.142568	0.245458	0.23744	0.168518	0.245982	0.233439	0	0.0149824	0.181892	0.139261	0.1393	0.0400666	0.241086		0.246247	0.14278	0.139434	0.142252	0.144108			0.246515	0.0130977			0.244687		0.0579707	0.228163	0.014903	0.0118339	0.183828		0.184137	0.139588	0.190596				0.143645			0.245458	0.243934	0.0154323	0.246515		0.0105436	0.244941	0.245982	0.244687	0.245458	0.141149	0.139138	0.0361344	0.245982	0.239319	0.245198		0.13982	2.27337e-05	0.191073	0.245982	0.236837	0.00110194	0.243441	0.243934	0.244941	0.14124		0.231191		0.244941		0.245982	0.245982	0.245982	0.18034		0.015494		0.245982	0.14359		0.137237	0.23847	0.246247		0.0152856	0.14026				0.244941	0.23744		0.060369		0.140987	0.238261	0.245719	0.0107318	0.23868	0.245982	0.139617	0.135157	0.139491	0.242716	0.143026	0.228777	0.245458	0.00368537	0.0142407		0.24086	0.191509	0.140917	0.243934	0.183485		0.246785	0.245458	0.245982		0.141291	0.190502	0.245982	0.229403	0.244434		0.139539	0.243686	0.245719	0.0107412	0.012179	0.245982	0.139713	0.14121	0.245458	0.244687	0.245458	0.236638	0.143199	0.139626		0.18292	0.0107751	0.0148657	0.190834	0.246515	1.98247e-05	0.190173			0.139636		0.139281	0.242478	0.245719	0.140706	0.0156293	0.140746	0.238054		0.245982	0.245982	0.0149044	0.246785	0.253047		0.245982	0.00996276	0.182402	0.235283	0.0149475	0.245719		0.0077238	0.245458		0.139675	0.139733	0.140083				0.245982		0.143897	0.245982	0.246247	0.245719	0.190502	0.245982	0.244941	0.0036824	0.243198		0.23605	0.183599	0.245982	0.192349	0.140647	0.142557	0.24086	0.18437		0.245982	0.190834		0.142504	0.245458	0.244687		0.0149445	0.245458	0.239534		0.245982	0.142994	0.246515	0.243441	0.141159	0.245982	0.183561	0.244941	0.245982	0.140478	0.245982	0.237237		0.245982		0.245719	0.245982	0.24086		0.141701	0.0596506	0.246515	0.246515	0.245198		0.142866	0.142823	0.245982	0.0131105	0.246515	0.134542	0.245982	0.183561	0.245198	0.247608	0.245198		0.139204	0.225959	0.23605	0.237848	0.245982	2.87157e-05	0.245982	0.141139	0.245719	0.000453704	0.243686	0.0400244	0.134044	0.190691	0.245982	0.140025		0.134542	0.245458			0.245982	0.174875			0.190786	0.229881	0.234905
NZ_CP021892	0.241314	0.190739				0.139195	0.133658		0.140507	0.014791		0.0145151	0.00919911		0.189433		0.0138747		0.22786		0.0144094				0.243934					0.138136				0.238892	0.241314				0.190407		0.0150008				0.143404	0.226677	0.243686	0.245719	0.242242						0.245982		0.23868		0.244183			0.228011		0.0149337	0.0139892	0.234533	0.00474821		0.174904	0.0590319	0.189433	0.245198			0.246247	0.143188	0.222718					0.244183	0.245982	0.243686	0.0189577		0.244687	0.175313	0.178208	0.243686	0.016971	0.0149896		0.24019	0.245982		0.140957	0.243934	0.237037		0.245198	0.232731		0	0.173733	0.13981	0.127252	0.0410301	0.24019		0.246247		0.139995									0.244434				0.00475425	0.0151183	0.173649				0.189708				0.137742			0.239534	0.243441	0.0170853	0.241314		0.0144419	0.244941	0.245198	0.242716		0.130615	0.140537	0.0369798	0.245982		0.238054			0.0149699	0.189755	0.245982		0.014919	0.242956	0.238054	0.242956	0.140827							0.245982	0.245982			0.0171314		0.244687	0.143037		0.139033	0.237643								0.244941	0.237037		0.0608329		0.140766		0.244941	0.0143154	0.238261	0.245982	0.140507	0.136154		0.242716	0.142557		0.23847	0.014399	0.00597333		0.23997	0.189755	0.140947	0.243686	0.173621		0.241544	0.239319	0.245982				0.245982	0.229721			0.140408				0.0146367	0.24086	0.140957	0.140847	0.244687	0.244183		0.235093	0.141939	0.140507			0.0146028	0.00479123		0.245198	0.0149854	0.190126							0.244687		0.0173024				0.245982				0.252074		0.245982	0.014402	0.176544	0.234533		0.244687		0.0147288					0.139917				0.245982		0.144141		0.246247		0.18916	0.245982	0.242956	0.0143943							0.126875	0.139568	0.233261	0.169265			0.189433		0.140438		0.243686		0.00514899	0.243686				0.142642	0.240412		0.141352	0.245982		0.244941	0.245982		0.245982	0.237037		0.245982				0.239534		0.140657			0.241314				0.141773	0.245982	0.0092076	0.241314	0.135132	0.245982	0.175343		0.246785	0.244687			0.213411	0.235857	0.237643	0.245982	0.0149907	0.245982	0.138769	0.246247					0.189616	0.245982	0.139463		0.135098	0.23847			0.245982	0.172014					0.232037
NZ_CP022477	0.247057						0.186887					0.18307					0.181461		0.24019																										0.185523	0.225959		0.246247														0.232906				0.237037						0.246247										0.246785							0.0464943		0.179861	0.181892			0.246247										0								0.187269														0.181856					0.197141												0.180547			0.247888																	0.248453								0.246247	0.246247			0.180031					0.185402	0.23868																						0.247057			0.246785					0.197904			0.00256147			0.247057						0.234348									0.187699	0.185041					0.185807	0.18406															0.247331												0.246247	0.182958				0.247331											0.246247		0.185001				0.196909		0.248169									0.185767											0.175079												0.246247									0.243686					0.247057					0.246247			0.183828								0.229403	0.23605						0.247331					0.197432	0.246247	0.186551		0.183828					0.0457083					
NC_022530	0.246785	0.194736				0.000729202	0.0463737		0.0159848	0.13982		0.139578	0.139878		0.19352		0.140827		0.240412		0.139791				0.246515					0.0163244				0.246247	0.246515				0.192399		0.139242				0.0514371	0.229881	0.246247	0.246785	0.247057						0.246247		0.239319		0.246247			0.232209			0.139233	0.235857	0.140987		0.184253	0.14335	0.19352	0.246247			0.246247	0.0208768	0.225535					0.246247	0.246247	0.246515	0.14025		0.246515	0.185563	0.181107	0.246515	0.139781	0.13929		0.246247	0.246247		0.0192491	0.245982	0.235664		0.246247	0.234718			0.185402	0	0.0159039	0.141291	0.238261		0.246515		0.00711853									0.245719				0.141018	0.140776	0.185604				0.193624				0.0516183			0.247608	0.245458	0.140083	0.246785		0.139568	0.247331	0.246247	0.246515		0.012424	0.00737314	0.141149	0.246247		0.247331			0.139252	0.193468	0.246247		0.139898	0.245982	0.245982	0.246247	0.0206367							0.246247	0.246247			0.139917		0.247888	0.0212435		0.0166585	0.239319								0.247057	0.234905		0.141434		0.0196637		0.245982	0.139704	0.238054	0.246247	0.0159787	0.145113		0.244941	0.0204346		0.247057	0.139888	0.140527		0.24019	0.188311	0.0156902	0.245982	0.185442		0.246785	0.246515	0.246247				0.246247	0.232209			0.0160382				0.138957	0.246515	0.00814096	0.0159109	0.246247	0.246785		0.236638	0.0200769	0.0159855			0.140418	0.140927		0.246785	0.139281	0.192802							0.245982		0.140103				0.246247				0.253047		0.246247	0.139723	0.186467	0.234905		0.246247		0.138703					0.00812482				0.246247		0.0509541		0.246515		0.193262	0.246247	0.246247	0.139839							0.0133121	0.020486	0.242008	0.185604			0.19352		0.020786		0.246515		0.14197	0.246247				0.0206426	0.246515		0.0160999	0.246247		0.247331	0.246247		0.246247	0.237848		0.246247				0.242956		0.0162736			0.246785				0.0207498	0.246247	0.139849	0.246785	0.147878	0.246247	0.185241		0.246247	0.246785			0.230366	0.235857	0.24019	0.246247	0.13929	0.246247	0.0159149	0.245982					0.193365	0.246247	0.00815594		0.147866	0.247057			0.246247	0.181964					0.236638
