total	accession	distance	total_kmers	group	method
78	NZ_CP015589	0.0373928	454226	BCG	intersect
79	NZ_CP009369	0.0405242	420924	BCG	intersect
80	NZ_CP009590	0.0405292	417439	BCG	intersect
81	NZ_CP009941	0.0410329	417345	BCG	intersect
82	NC_018491	0.0421258	379243	BCG	intersect
83	NC_003909	0.0438621	365835	BCG	intersect
84	NZ_CP013274	0.046351	274463	BCG	intersect
85	NZ_CP011155	0.0595027	181169	BCG	intersect
86	NZ_CP014282	0.0612678	168512	BCG	intersect
87	NZ_CP017577	0.0615944	164221	BCG	intersect
88	NC_014171	0.0617104	162812	BCG	intersect
89	NZ_CP012691	0.0617855	160720	BCG	intersect
90	NZ_CP014486	0.0618231	159865	BCG	intersect
91	NZ_CP016360	0.0619778	158986	BCG	intersect
92	NZ_CP017234	0.0620612	156439	BCG	intersect
93	NZ_CP022445	0.0621448	154970	BCG	intersect
94	NZ_CP020383	0.0622211	153543	BCG	intersect
95	NC_004722	0.0623091	150911	BCG	intersect
96	NZ_CP016315	0.0623742	150103	BCG	intersect
97	NZ_CP009686	0.0624627	149635	BCG	intersect
98	NC_011725	0.0627959	148471	BCG	intersect
99	NZ_CP012483	0.0629757	137360	BCG	intersect
100	NZ_CP007512	0.06307	134023	BCG	intersect
101	NZ_AP014864	0.0632596	132927	BCG	intersect
102	NZ_CP015727	0.0632913	131273	BCG	intersect
103	NZ_CP019230	0.0633072	129762	BCG	intersect
104	NZ_CP010106	0.0633747	128998	BCG	intersect
105	NZ_CP022345	0.0633867	128285	BCG	intersect
106	NZ_CP016588	0.0635024	127220	BCG	intersect
107	NZ_CP011151	0.0637634	125181	BCG	intersect
108	NZ_CP011153	0.0637634	125118	BCG	intersect
109	NZ_CP026678	0.0639414	123694	BCG	intersect
110	NZ_CP017060	0.0639496	122749	BCG	intersect
111	NC_018877	0.0639699	121724	BCG	intersect
112	NC_020376	0.063978	121670	BCG	intersect
113	NC_017208	0.0640228	121512	BCG	intersect
114	NZ_CP015250	0.0642476	120464	BCG	intersect
115	NZ_CP015150	0.0644247	119218	BCG	intersect
116	NC_020238	0.0644453	119181	BCG	intersect
117	NZ_CP010089	0.0644991	118752	BCG	intersect
118	NZ_CP013055	0.0645032	118692	BCG	intersect
119	NZ_CP010005	0.0645032	118629	BCG	intersect
120	NZ_CP011349	0.0645115	118407	BCG	intersect
121	NZ_CP007607	0.064553	118049	BCG	intersect
122	NZ_CP004858	0.0646361	117472	BCG	intersect
123	NZ_CP004870	0.0646944	116336	BCG	intersect
124	NZ_CP021061	0.0649079	103751	BCG	intersect
125	NZ_CP012099	0.065068	99824	BCG	intersect
126	NZ_CP015350	0.0651484	98756	BCG	intersect
127	NC_022873	0.0652673	97807	BCG	intersect
128	NC_011772	0.0655926	93797	BCG	intersect
129	NZ_CP015176	0.0656573	92712	BCG	intersect
130	NZ_CP009351	0.0660089	92211	BCG	intersect
131	NC_018508	0.066022	92163	BCG	intersect
132	NZ_CP010577	0.0660264	90880	BCG	intersect
133	NC_018500	0.0667256	90414	BCG	intersect
134	NZ_CP020002	0.0667525	90028	BCG	intersect
135	NC_022781	0.0697028	72570	BCG	intersect
136	NZ_CP020437	0.0697974	71968	BCG	intersect
137	NC_018693	0.0703311	70646	BCG	intersect
138	NC_010184	0.0789792	51166	BCG	intersect
139	NZ_CP009692	0.0806084	49783	BCG	intersect
140	NZ_CP009746	0.080833	49084	BCG	intersect
141	NZ_CP020743	0.0815843	48329	BCG	intersect
142	NZ_CP007626	0.124775	23905	BCG	intersect
143	NC_009674	0.135333	14226	BCG	intersect
144	NZ_CP016790	0.224163	12127	Bacillus	difference
145	NC_014639	0.231696	11927	Bacillus	difference
146	NZ_CP010778	0.231696	11925	Bacillus	difference
147	NZ_CP011008	0.231696	11801	Bacillus	difference
148	NZ_CP014840	0.231696	11801	Bacillus	difference
149	NZ_AP014928	0.234348	11747	Bacillus	difference
150	NZ_CP020880	0.234348	11621	Bacillus	difference
151	NZ_CP024035	0.235283	11572	Bacillus	difference
152	NZ_CP024204	0.235283	11572	Bacillus	difference
153	NZ_CP018574	0.235283	11572	Bacillus	difference
154	NZ_CP018874	0.236245	11568	Bacillus	difference
155	NZ_CP012329	0.236245	11568	Bacillus	difference
156	NZ_CP022319	0.236245	11568	Bacillus	difference
157	NZ_CP012330	0.236245	11568	Bacillus	difference
158	NZ_CP007436	0.236245	11568	Bacillus	difference
159	NZ_CP015226	0.236245	11568	Bacillus	difference
160	NZ_CP012482	0.236245	11568	Bacillus	difference
161	NC_014019	0.237237	11567	Bacillus	difference
162	NZ_CP010075	0.237237	11567	Bacillus	difference
163	NZ_CP010997	0.237237	11567	Bacillus	difference
164	NZ_CP010586	0.237237	11533	Bacillus	difference
165	NZ_CP011150	0.237237	11533	Bacillus	difference
166	NZ_CP009920	0.237237	11528	Bacillus	difference
167	NZ_CP009108	0.237237	11528	Bacillus	difference
168	NC_014103	0.237237	11528	Bacillus	difference
169	NZ_CP022653	0.238261	11528	Bacillus	difference
170	NZ_CP015611	0.238261	11507	Bacillus	difference
171	NZ_CP021500	0.238261	11502	Bacillus	difference
172	NZ_CP015607	0.238261	11502	Bacillus	difference
173	NZ_CP015610	0.238261	11502	Bacillus	difference
174	NZ_CP018197	0.238261	11502	Bacillus	difference
175	NC_017138	0.238261	11502	Bacillus	difference
176	NZ_CP011007	0.238261	11502	Bacillus	difference
177	NZ_CP018100	0.238261	11502	Bacillus	difference
178	NZ_CP018173	0.239319	11502	Bacillus	difference
179	NC_009848	0.239319	11502	Bacillus	difference
180	NZ_CP022874	0.239319	11474	Bacillus	difference
181	NZ_CP015975	0.239319	11474	Bacillus	difference
182	NC_013791	0.239319	11394	Bacillus	difference
183	NZ_CP018249	0.239319	11394	Bacillus	difference
184	NC_016047	0.239319	11394	Bacillus	difference
185	NZ_CP025941	0.239319	11365	Bacillus	difference
186	NZ_CP021677	0.239319	11365	Bacillus	difference
187	NZ_CP017786	0.239319	11365	Bacillus	difference
188	NZ_CP010314	0.240412	11365	Bacillus	difference
189	NZ_CP018007	0.240412	11347	Bacillus	difference
190	NZ_CP014842	0.240412	11347	Bacillus	difference
191	NZ_CP016784	0.240412	11347	Bacillus	difference
192	NZ_CP022477	0.240412	11347	Bacillus	difference
193	NZ_CP021889	0.240412	11347	Bacillus	difference
194	NC_017061	0.240412	11345	Bacillus	difference
195	NZ_CP015375	0.240412	11345	Bacillus	difference
196	NZ_CP024647	0.240412	11345	Bacillus	difference
197	NC_018520	0.240412	11345	Bacillus	difference
198	NZ_CP018200	0.240412	11345	Bacillus	difference
199	NZ_CP020102	0.240412	11345	Bacillus	difference
200	NZ_CP009938	0.240412	11345	Bacillus	difference
201	NZ_CP011115	0.240412	11345	Bacillus	difference
202	NZ_CP017247	0.240412	11345	Bacillus	difference
203	NZ_CP023431	0.240412	11345	Bacillus	difference
204	NC_006322	0.240412	11345	Bacillus	difference
205	NZ_CP016767	0.240412	11345	Bacillus	difference
206	NZ_CP010556	0.240412	11343	Bacillus	difference
207	NC_006270	0.240412	11343	Bacillus	difference
208	NZ_AP012496	0.240412	11343	Bacillus	difference
209	NC_020507	0.240412	11343	Bacillus	difference
210	NZ_CP014794	0.240412	11343	Bacillus	difference
211	NZ_CP014795	0.240412	11343	Bacillus	difference
212	NC_022898	0.240412	11343	Bacillus	difference
213	NZ_CP021011	0.240412	11343	Bacillus	difference
214	NZ_CP007800	0.240412	11343	Bacillus	difference
215	NZ_CP022341	0.240412	11343	Bacillus	difference
216	NC_000964	0.240412	11343	Bacillus	difference
217	NZ_CP016395	0.240412	11342	Bacillus	difference
218	NZ_CP020375	0.240412	11342	Bacillus	difference
219	NC_017743	0.240412	11342	Bacillus	difference
220	NZ_CP013727	0.240412	11342	Bacillus	difference
221	NZ_CP025258	0.240412	11342	Bacillus	difference
222	NZ_CP006960	0.240412	11342	Bacillus	difference
223	NZ_CP016020	0.240412	11316	Bacillus	difference
224	NZ_CP026673	0.240412	11316	Bacillus	difference
225	NZ_CP014793	0.240412	11316	Bacillus	difference
226	NZ_CP017775	0.240412	11316	Bacillus	difference
227	NZ_CP025308	0.240412	11316	Bacillus	difference
228	NZ_CP014781	0.240412	11316	Bacillus	difference
229	NZ_CP010052	0.240412	11316	Bacillus	difference
230	NZ_CP021499	0.240412	11316	Bacillus	difference
231	NZ_CP011347	0.240412	11316	Bacillus	difference
232	NZ_CP023748	0.240412	11316	Bacillus	difference
233	NZ_CP015004	0.240412	11316	Bacillus	difference
234	NC_017912	0.240412	11316	Bacillus	difference
235	NZ_CP017314	0.240412	11316	Bacillus	difference
236	NZ_CP021669	0.240412	11316	Bacillus	difference
237	NZ_CP010053	0.240412	11316	Bacillus	difference
238	NZ_CP011534	0.240412	11315	Bacillus	difference
239	NZ_CP024203	0.240412	11315	Bacillus	difference
240	NZ_CP023729	0.240412	11315	Bacillus	difference
241	NC_022530	0.240412	11315	Bacillus	difference
242	NZ_CP011101	0.240412	11315	Bacillus	difference
243	NZ_CP021495	0.240412	11315	Bacillus	difference
244	NZ_CP016852	0.240412	11315	Bacillus	difference
245	NZ_CP013984	0.240412	11315	Bacillus	difference
246	NZ_CP022890	0.240412	11315	Bacillus	difference
247	NZ_CP021169	0.240412	11315	Bacillus	difference
248	NZ_CP008698	0.240412	11315	Bacillus	difference
249	NZ_CP016371	0.240412	11315	Bacillus	difference
250	NZ_CP014166	0.240412	11315	Bacillus	difference
251	NZ_CP011278	0.240412	11315	Bacillus	difference
252	NZ_CP007739	0.240412	11287	Bacillus	difference
253	NZ_CP011937	0.240412	11287	Bacillus	difference
254	NZ_CP025939	0.240412	11287	Bacillus	difference
255	NZ_CP021505	0.240412	11278	Bacillus	difference
256	NC_022081	0.240412	11277	Bacillus	difference
257	NZ_CP021498	0.240412	11277	Bacillus	difference
258	NZ_CP021911	0.240412	11277	Bacillus	difference
259	NZ_CP020893	0.240412	11277	Bacillus	difference
260	NC_020244	0.241544	11277	Bacillus	difference
261	NZ_CP023481	0.241544	11277	Bacillus	difference
262	NZ_CP025341	0.241544	11277	Bacillus	difference
263	NZ_CP009611	0.241544	11277	Bacillus	difference
264	NZ_CP022891	0.241544	11277	Bacillus	difference
265	NC_021362	0.241544	11277	Bacillus	difference
266	NC_019842	0.241544	11277	Bacillus	difference
267	NC_019896	0.241544	11277	Bacillus	difference
268	NZ_CP021507	0.241544	11277	Bacillus	difference
269	NZ_CP022983	0.241544	11238	Bacillus	difference
270	NZ_CP017953	0.241544	11238	Bacillus	difference
271	NZ_CP017112	0.241544	11238	Bacillus	difference
272	NZ_CP017763	0.241544	11238	Bacillus	difference
273	NZ_CP007173	0.241544	11238	Bacillus	difference
274	NZ_CP017072	0.241544	11238	Bacillus	difference
275	NZ_CP005997	0.241544	11238	Bacillus	difference
276	NC_014976	0.241544	11237	Bacillus	difference
277	NC_020832	0.241544	11237	Bacillus	difference
278	NZ_CP018295	0.241544	11237	Bacillus	difference
279	NZ_CP021903	0.241544	11237	Bacillus	difference
280	NZ_CP023666	0.241544	11237	Bacillus	difference
281	NZ_CP010014	0.241544	11237	Bacillus	difference
282	NZ_CP018184	0.241544	11237	Bacillus	difference
283	NZ_CP023665	0.241544	11237	Bacillus	difference
284	NZ_CP024897	0.241544	11237	Bacillus	difference
285	NC_014479	0.241544	11237	Bacillus	difference
286	NZ_CP023257	0.241544	11237	Bacillus	difference
287	NZ_CP020352	0.241544	11237	Bacillus	difference
288	NC_022075	0.241544	11237	Bacillus	difference
289	NZ_CP022654	0.241544	11237	Bacillus	difference
290	NZ_CP006058	0.241544	11237	Bacillus	difference
291	NZ_CP014990	0.241544	11237	Bacillus	difference
292	NZ_CP007244	0.241544	11235	Bacillus	difference
293	NZ_CP021921	0.241544	11235	Bacillus	difference
294	NZ_CP007409	0.241544	11235	Bacillus	difference
295	NZ_CP021892	0.241544	11235	Bacillus	difference
296	NC_020272	0.241544	11235	Bacillus	difference
297	NZ_CP011346	0.241544	11235	Bacillus	difference
298	NZ_CP017070	0.241544	11235	Bacillus	difference
299	NZ_CP017676	0.241544	11235	Bacillus	difference
300	NZ_CP022531	0.241544	11235	Bacillus	difference
301	NZ_CP022556	0.241544	11235	Bacillus	difference
302	NC_023073	0.241544	11235	Bacillus	difference
303	NZ_CP021338	0.241544	11235	Bacillus	difference
304	NZ_CP020722	0.241544	11235	Bacillus	difference
305	NZ_CP006890	0.241544	11235	Bacillus	difference
306	NZ_CP009749	0.241544	11235	Bacillus	difference
307	NZ_CP013654	0.241544	11235	Bacillus	difference
308	NZ_CP014471	0.241544	11235	Bacillus	difference
309	NZ_CP016894	0.241544	11235	Bacillus	difference
310	NC_009725	0.241544	11235	Bacillus	difference
311	NZ_CP022287	0.241544	11235	Bacillus	difference
312	NC_022653	0.241544	11235	Bacillus	difference
313	NZ_CP023320	0.241544	11235	Bacillus	difference
314	NZ_CP024797	0.241544	11235	Bacillus	difference
315	NZ_CP008855	0.241544	11204	Bacillus	difference
316	NZ_CP007242	0.241544	11204	Bacillus	difference
317	NC_016784	0.241544	11204	Bacillus	difference
318	NZ_CP015911	0.241544	11204	Bacillus	difference
319	NC_017196	0.241544	11204	Bacillus	difference
320	NZ_CP010524	0.241544	11204	Bacillus	difference
321	NC_017190	0.241544	11204	Bacillus	difference
322	NZ_CP021976	0.241544	11204	Bacillus	difference
323	NZ_CP020367	0.241544	11204	Bacillus	difference
324	NZ_CP026533	0.241544	11204	Bacillus	difference
325	NZ_CP019626	0.241544	11204	Bacillus	difference
326	NZ_CP015222	0.241544	11204	Bacillus	difference
327	NZ_CP020023	0.241544	11204	Bacillus	difference
328	NZ_CP011882	0.241544	11204	Bacillus	difference
329	NZ_CP009679	0.241544	11204	Bacillus	difference
330	NZ_CP023859	0.241544	11204	Bacillus	difference
331	NZ_CP019040	0.241544	11204	Bacillus	difference
332	NC_017195	0.241544	11204	Bacillus	difference
333	NZ_CP018133	0.241544	11204	Bacillus	difference
334	NC_022524	0.242716	11193	Bacillus	difference
335	NZ_CP025001	0.242716	11193	Bacillus	difference
336	NZ_CP014783	0.242716	11193	Bacillus	difference
337	NZ_CP009796	0.242716	11193	Bacillus	difference
338	NZ_CP016913	0.242716	11193	Bacillus	difference
339	NC_014551	0.242716	11193	Bacillus	difference
340	NZ_CP017704	0.242716	11187	Bacillus	difference
341	NZ_CP015443	0.242716	11187	Bacillus	difference
342	NZ_CP013950	0.242716	11187	Bacillus	difference
343	NZ_CP014700	0.242716	11187	Bacillus	difference
344	NZ_CP026610	0.242716	11187	Bacillus	difference
345	NZ_CP010406	0.242716	11187	Bacillus	difference
346	NZ_CP023168	0.242716	11187	Bacillus	difference
347	NZ_CP020805	0.242716	11187	Bacillus	difference
348	NZ_CP018152	0.242716	11187	Bacillus	difference
349	NZ_CP011686	0.242716	11187	Bacillus	difference
350	NZ_CP017747	0.242716	11187	Bacillus	difference
351	NZ_CP011252	0.242716	11187	Bacillus	difference
352	NZ_CP012024	0.242716	11131	Bacillus	difference
353	NC_020410	0.242716	11131	Bacillus	difference
354	NZ_CP007165	0.242716	11128	Bacillus	difference
355	NZ_CP018866	0.243934	11099	Bacillus	difference
356	NC_017188	0.243934	11099	Bacillus	difference
357	NZ_CP021920	0.243934	11099	Bacillus	difference
358	NC_017191	0.243934	11099	Bacillus	difference
359	NZ_CP017080	0.243934	11099	Bacillus	difference
360	NZ_CP009748	0.243934	11099	Bacillus	difference
361	NZ_CP011974	0.246515	11050	Bacillus	difference
362	NZ_CP020814	0.246515	11047	Bacillus	difference
363	NC_002570	0.246515	11038	Bacillus	difference
364	NZ_CP015506	0.247888	11015	Bacillus	difference
365	NC_021171	0.247888	10999	Bacillus	difference
366	NZ_CP009709	0.250821	10966	Bacillus	difference
367	NC_016023	0.250821	10966	Bacillus	difference
368	NZ_CP011939	0.250821	10966	Bacillus	difference
369	NZ_CP026649	0.250821	10966	Bacillus	difference
370	NZ_CP017888	0.250821	10966	Bacillus	difference
371	NZ_CP010525	0.250821	10966	Bacillus	difference
372	NC_014829	0.252395	10942	Bacillus	difference
373	NC_015634	0.254049	10942	Bacillus	difference
374	NZ_AP013294	0.259592	10911	Bacillus	difference
375	NZ_CP019985	0.261673	10911	Bacillus	difference
376	NZ_CP003923	0.261673	10910	Bacillus	difference
377	NZ_CP012475	0.261673	10910	Bacillus	difference
378	NC_006582	0.261673	10910	Bacillus	difference
379	NZ_CP012502	0.263899	10887	Bacillus	difference
380	rRNA	NA	10184	rRNA	difference
381	hamming-distance	NA	10183	HD	filter HD =0
